Table 6,,,,,,,,,,,,,
Lake Orion,"3,065",2,0,1,,0,1,30,2,27,1,7,
Lakeview,"1,011",3,0,2,,0,1,51,4,47,0,0,
Lansing,"115,199","1,341",9,142,,260,930,"3,325",897,"2,053",375,18,
Lansing Township,"8,148",48,1,7,,7,33,310,44,243,23,0,
Lapeer,"8,782",50,0,18,,1,31,322,30,285,7,1,
Lapeer Township,"5,066",1,0,1,,0,0,25,5,20,0,0,
Lathrup Village,"4,147",9,0,0,,1,8,28,8,19,1,0,
Laurium,"1,933",1,1,0,,0,0,19,5,13,1,0,
Lawton,"1,860",5,0,1,,0,4,52,5,44,3,1,
Lennon,499,0,0,0,,0,0,3,0,3,0,1,
Leslie,"1,869",2,0,1,,0,1,17,1,15,1,0,
Lincoln Park,"36,808",268,0,21,,36,211,"1,111",212,777,122,2,
Lincoln Township,"14,500",10,0,2,,0,8,180,25,149,6,0,
Linden,"3,811",0,0,0,,0,0,15,2,13,0,0,
Litchfield,"1,343",1,0,1,,0,0,15,4,11,0,0,
Livonia,"94,226",141,0,18,,28,95,"1,694",295,"1,250",149,4,
Lowell,"3,931",15,0,3,,1,11,75,12,58,5,3,
Ludington,"8,054",35,0,15,,1,19,153,17,130,6,1,
Luna Pier,"1,380",2,0,0,,0,2,23,6,17,0,0,
Lyon Township,"18,917",11,0,2,,1,8,161,23,127,11,0,
Mackinac Island,479,8,0,2,,0,6,126,1,125,0,0,
Mackinaw City,802,0,0,0,,0,0,36,3,32,1,0,
Madison Heights,"30,297",81,0,12,,16,53,639,91,468,80,1,
Madison Township,"8,464",10,0,3,,1,6,107,6,98,3,0,
Mancelona,"1,361",0,0,0,,0,0,23,4,18,1,0,
Manistee,"6,057",21,0,11,,0,10,138,19,116,3,0,
Manistique,"2,960",6,0,4,,0,2,52,11,41,0,1,
Marenisco Township,"1,681",0,0,0,,0,0,1,0,1,0,0,
Marine City,"4,124",14,0,2,,2,10,54,9,40,5,0,
Marlette,"1,787",2,0,1,,0,1,22,3,17,2,0,
Marquette,"21,283",25,1,11,,2,11,310,25,281,4,0,
Marshall,"7,038",14,0,5,,1,8,100,14,85,1,1,
Marysville,"9,722",19,0,1,,4,14,118,10,105,3,0,
Mason,"8,461",10,0,2,,1,7,164,27,133,4,0,
Mattawan,"1,938",5,0,2,,1,2,24,3,19,2,1,
Mayville,914,1,0,0,,0,1,3,1,1,1,1,
Melvindale,"10,348",55,1,1,,10,43,239,42,176,21,0,
Mendon,859,2,0,0,,0,2,11,2,9,0,0,
Menominee,"8,344",31,0,5,,0,26,198,28,162,8,3,
Meridian Township,"42,700",86,0,19,,10,57,926,96,812,18,5,
Metamora Township,"4,241",9,0,3,,0,6,32,6,25,1,0,
Michiana,183,0,0,0,,0,0,3,0,3,0,0,
Midland,"42,263",48,0,17,,5,26,511,77,424,10,0,
Milan,"6,012",11,0,1,,1,9,100,13,77,10,0,
Milford,"16,707",11,0,7,,1,3,85,18,64,3,1,
Montague,"2,362",3,0,1,,0,2,28,3,25,0,0,
Montrose Township,"7,524",7,0,1,,0,6,62,15,46,1,0,
Morenci,"2,181",8,0,1,,1,6,27,8,18,1,0,
Morrice,891,3,0,1,,0,2,15,5,9,1,0,
Mount Morris,"2,941",26,0,2,,4,20,92,23,64,5,2,
Mount Morris Township,"20,502",83,3,14,,13,53,443,151,248,44,6,
Mount Pleasant,"26,069",67,0,24,,3,40,352,48,287,17,11,
Munising,"2,278",4,0,1,,0,3,30,3,27,0,1,
Muskegon,"38,442",273,5,39,,62,167,"1,468",285,"1,094",89,6,
Muskegon Heights,"10,785",198,1,23,,49,125,576,157,360,59,15,
Muskegon Township,"17,791",54,0,15,,4,35,787,89,672,26,1,
Napoleon Township,"6,764",4,1,0,,0,3,61,22,32,7,0,
Nashville,"1,635",19,0,4,,0,15,23,7,14,2,2,
Negaunee,"4,584",9,0,3,,2,4,53,7,43,3,0,
Newaygo,"1,951",12,0,5,,0,7,85,7,77,1,0,
New Baltimore,"12,409",21,0,6,,1,14,96,11,79,6,2,
New Buffalo,"1,875",2,0,0,,0,2,28,4,23,1,3,
New Era,444,0,0,0,,0,0,4,1,3,0,0,
New Lothrop,557,0,0,0,,0,0,6,2,4,0,0,
Niles,"11,282",64,0,20,,12,32,287,65,191,31,4,
Northfield Township,"8,617",13,0,3,,0,10,108,36,66,6,1,
North Muskegon,"3,779",4,0,1,,0,3,63,1,62,0,0,
Northville,"6,019",2,0,0,,0,2,56,7,48,1,2,
Northville Township,"28,890",12,0,6,,0,6,343,25,299,19,1,
Norton Shores,"24,256",45,2,6,,12,25,695,78,602,15,2,
Novi,"59,441",32,0,6,,2,24,661,56,586,19,0,
Oakland Township,"19,659",6,0,2,,0,4,52,14,36,2,0,
Oak Park,"29,838",105,2,18,,30,55,565,97,391,77,4,
Olivet,"1,611",2,0,0,,1,1,13,0,13,0,0,
Ontwa Township-Edwardsburg,"6,481",27,0,6,,1,20,116,37,66,13,1,
Orchard Lake,"2,428",4,0,2,,0,2,26,2,23,1,0,
Orion Township,"35,550",25,1,3,,1,20,220,35,176,9,10,
Oscoda Township,"6,838",22,0,6,,0,16,135,34,100,1,1,
Otisville,818,2,0,2,,0,0,4,0,4,0,0,
Otsego,"3,998",8,0,1,,0,7,63,11,50,2,0,
Ovid,"1,614",1,0,0,,0,1,10,2,8,0,0,
Owendale,230,0,0,0,,0,0,2,0,2,0,0,
Owosso,"14,605",69,1,14,,7,47,317,64,240,13,8,
Oxford,"3,554",3,0,1,,0,2,17,6,7,4,0,
Oxford Township,"18,164",16,0,1,,0,15,107,18,86,3,0,
Paw Paw,"3,441",14,0,3,,0,11,141,5,133,3,1,
Peck,609,1,0,0,,0,1,0,0,0,0,0,
Pentwater,843,3,0,1,,0,2,15,2,13,0,0,
Perry,"2,088",2,0,0,,0,2,14,2,10,2,0,
Petoskey,"5,731",9,0,2,,0,7,55,10,40,5,1,
Pinckney,"2,439",2,0,0,,0,2,15,4,10,1,0,
Pinconning,"1,264",0,0,0,,0,0,8,0,7,1,0,
Pittsfield Township,"38,704",79,0,24,,10,45,620,62,522,36,9,
Plainwell,"3,826",10,0,2,,0,8,69,13,49,7,0,
Pleasant Ridge,"2,562",0,0,0,,0,0,16,4,11,1,0,
Plymouth,"8,865",5,0,2,,2,1,88,12,65,11,0,
Plymouth Township,"26,870",16,0,2,,2,12,280,29,232,19,0,
Pontiac,"60,003",749,15,66,,121,547,"1,425",520,771,134,26,
Portage,"48,550",103,0,31,,15,57,"1,289",149,"1,117",23,5,
Port Austin,638,0,0,0,,0,0,11,0,11,0,0,
Port Huron,"29,182",280,1,48,,24,207,749,201,510,38,14,
Portland,"3,929",4,0,2,,0,2,26,2,22,2,0,
Port Sanilac,600,0,0,0,,0,0,0,0,0,0,0,
Potterville,"2,619",1,0,1,,0,0,7,0,6,1,0,
Prairieville Township,"3,409",0,0,0,,0,0,7,3,4,0,0,
Quincy,"1,638",9,0,2,,2,5,58,23,35,0,0,
Raisin Township,"7,577",0,0,0,,0,0,27,6,21,0,0,
Reading,"1,052",0,0,0,,0,0,7,1,6,0,0,
Redford Township,"47,218",334,1,45,,65,223,"1,384",369,752,263,6,
Reed City,"2,383",5,0,1,,1,3,38,3,34,1,1,
Reese,"1,398",0,0,0,,0,0,9,3,5,1,0,
"Richfield Township, Genesee County","8,315",14,0,6,,1,7,88,37,45,6,0,
"Richfield Township, Roscommon County","3,628",8,0,4,,0,4,35,5,26,4,0,
Richland,793,0,0,0,,0,0,12,0,12,0,0,
"Richland Township, Saginaw County","3,961",2,0,0,,0,2,16,4,11,1,0,
Richmond,"5,882",16,0,2,,0,14,92,15,73,4,1,
River Rouge,"7,480",79,1,12,,15,51,186,55,107,24,6,
Riverview,"12,127",37,0,2,,8,27,192,24,138,30,1,
Rochester,"13,050",8,0,0,,1,7,66,12,53,1,2,
Rochester Hills,"73,913",53,0,8,,8,37,545,63,459,23,0,
Rockford,"6,218",23,0,4,,1,18,94,7,85,2,0,
Rockwood,"3,183",7,0,1,,0,6,35,2,25,8,0,
Rogers City,"2,692",0,0,0,,0,0,50,5,43,2,0,
Romeo,"3,630",1,0,1,,0,0,42,1,40,1,0,
Romulus,"23,315",169,4,28,,25,112,685,120,418,147,4,
Roseville,"47,704",246,0,32,,59,155,"1,829",193,"1,482",154,9,
Rothbury,422,0,0,0,,0,0,11,3,8,0,0,
Royal Oak,"59,367",65,0,14,,8,43,612,86,489,37,4,
Saginaw,"48,942",718,10,56,,62,590,926,369,503,54,26,
Saginaw Township,"39,421",81,0,10,,20,51,916,157,740,19,2,
Saline,"9,158",10,0,0,,0,10,53,8,39,6,1,
Sand Lake,525,0,0,0,,0,0,17,0,17,0,0,
Sandusky,"2,580",7,0,1,,0,6,66,12,52,2,0,
Saugatuck-Douglas,"2,262",11,0,0,,0,11,37,13,23,1,0,
Sault Ste. Marie,"13,763",54,0,24,,3,27,312,41,263,8,1,
Schoolcraft,"1,574",5,0,2,,0,3,30,8,21,1,0,
Scottville,"1,213",1,0,1,,0,0,43,2,41,0,0,
Sebewaing,"1,679",0,0,0,,0,0,5,1,4,0,0,
Shelby Township,"78,427",104,0,34,,3,67,720,87,572,61,2,
Shepherd,"1,505",0,0,0,,0,0,12,1,11,0,0,
Somerset Township,"4,580",1,0,0,,0,1,40,1,38,1,0,
Southfield,"73,438",195,3,44,,52,96,"2,158",353,"1,514",291,6,
Southgate,"29,158",78,1,12,,20,45,864,77,702,85,0,
South Lyon,"11,801",7,0,4,,0,3,50,3,43,4,2,
South Rockwood,"1,635",3,0,1,,0,2,14,3,9,2,0,
Sparta,"4,346",8,0,3,,1,4,116,10,103,3,0,
Spaulding Township,"2,041",2,0,0,,0,2,8,3,5,0,0,
Spring Arbor Township,"8,097",7,0,0,,0,7,30,7,23,0,1,
Springfield Township,"14,467",7,0,3,,0,4,79,18,57,4,1,
Standish,"1,442",0,0,0,,0,0,3,0,3,0,0,
Stanton,"1,414",1,0,1,,0,0,14,2,12,0,0,
St. Charles,"1,940",10,0,1,,1,8,30,3,24,3,3,
St. Clair,"5,368",11,0,1,,1,9,71,23,44,4,1,
St. Clair Shores,"59,938",116,0,28,,13,75,808,139,606,63,4,
Sterling Heights,"132,523",242,1,32,,26,183,"1,513",177,"1,221",115,6,
St. Ignace,"2,376",8,0,2,,0,6,63,7,55,1,1,
St. Johns,"7,916",11,0,9,,0,2,62,4,57,1,0,
St. Joseph,"8,271",18,0,2,,0,16,138,12,122,4,0,
St. Joseph Township,"9,850",10,0,1,,2,7,170,18,146,6,1,
St. Louis,"7,212",12,0,9,,0,3,49,4,44,1,0,
Stockbridge,"1,235",3,0,1,,0,2,21,4,16,1,0,
Sturgis,"10,876",32,1,10,,2,19,264,25,225,14,3,
Sumpter Township,"9,265",7,1,0,,0,6,93,34,49,10,0,
Swartz Creek,"5,531",12,0,3,,0,9,103,10,91,2,1,
Sylvan Lake,"1,798",2,0,0,,0,2,29,5,20,4,0,
Tawas,"4,515",10,0,3,,2,5,104,5,99,0,0,
Taylor,"61,290",372,2,37,,83,250,"1,495",290,"1,042",163,19,
Tecumseh,"8,353",14,0,2,,0,12,78,13,60,5,1,
Thetford Township,"6,696",0,0,0,,0,0,8,3,3,2,1,
Thomas Township,"11,505",14,0,5,,1,8,158,31,123,4,0,
Three Rivers,"7,738",40,0,12,,2,26,307,12,281,14,2,
Tittabawassee Township,"9,782",7,0,3,,0,4,64,9,53,2,0,
Traverse City,"15,330",66,0,19,,4,43,314,45,257,12,1,
Trenton,"18,294",41,0,8,,3,30,153,12,118,23,0,
Troy,"83,743",78,1,12,,16,49,"1,336",94,"1,183",59,1,
Tuscarora Township,"2,946",3,0,0,,0,3,68,2,64,2,0,
Ubly,822,3,0,0,,0,3,11,4,7,0,0,
Unadilla Township,"3,405",6,0,1,,0,5,33,13,19,1,0,
Union City,"1,581",4,0,2,,0,2,61,17,44,0,0,
Utica,"4,980",22,0,2,,3,17,163,9,145,9,1,
Van Buren Township,"28,090",109,0,17,,20,72,657,92,495,70,3,
Vassar,"2,605",11,0,3,,0,8,24,3,21,0,2,
Vernon,753,0,0,0,,0,0,6,0,6,0,2,
Vicksburg,"3,298",13,0,2,,1,10,49,3,45,1,0,
Walker,"24,874",41,0,11,,8,22,657,46,590,21,2,
Walled Lake,"7,132",6,0,2,,0,4,54,7,41,6,1,
Warren,"135,620",691,6,118,,125,442,"3,521",927,"2,082",512,29,
Waterford Township,"73,308",97,1,25,,21,50,793,186,538,69,13,
Watervliet,"1,684",6,0,3,,0,3,17,3,12,2,0,
Wayland,"4,184",10,0,4,,0,6,96,25,68,3,0,
Wayne,"16,989",163,2,17,,32,112,340,86,209,45,6,
West Bloomfield Township,"66,123",45,0,7,,2,36,489,59,414,16,2,
West Branch,"2,054",6,0,3,,0,3,33,5,25,3,0,
Westland,"81,625",298,0,64,,68,166,"1,709",300,"1,249",160,18,
White Cloud,"1,378",8,0,3,,0,5,27,6,21,0,1,
Whitehall,"2,712",7,0,1,,1,5,52,6,46,0,0,
White Lake Township,"31,135",15,0,3,,1,11,319,32,276,11,3,
White Pigeon,"1,513",7,0,3,,1,3,30,6,23,1,0,
Williamston,"3,888",4,0,0,,0,4,18,3,14,1,1,
Wixom,"13,796",22,1,4,,2,15,231,19,183,29,0,
Wolverine Lake,"4,397",3,0,1,,0,2,16,0,16,0,0,
Woodhaven,"12,478",10,1,2,,2,5,259,9,236,14,1,
Woodland Township,"2,065",0,0,0,,0,0,3,1,2,0,0,
Wyandotte,"25,029",49,0,7,,7,35,384,69,284,31,1,
Wyoming,"75,917",352,4,69,,62,217,"1,758",297,"1,273",188,18,
Yale,"1,896",5,0,1,,0,4,26,2,24,0,0,
Ypsilanti,"20,019",151,0,21,,42,88,530,108,384,38,5,
Zeeland,"5,650",15,0,7,,0,8,98,38,59,1,0,
Zilwaukee,"1,562",0,0,0,,0,0,16,2,14,0,0,
1 The figures shown in this column for the offense of rape were reported using the revised Uniform Crime Reporting (UCR) definition of rape. See the data declaration for further explanation.,,,,,,,,,,,,,
2 The figures shown in this column for the offense of rape were reported using the legacy UCR definition of rape. See the data declaration for further explanation.,,,,,,,,,,,,,
